string,weight
Hotel Eden Opera,1
Hotel Victor Masse,1
FIAP Jean Monnet,1
Splendid Hotel,1
Hotel de l'Avre,1
Hotel Amiral Fondary,1
Maison 46,1
Hotel Alyss,1
Hotel Amiral,1
Mercure,1
Pavillon Porte de Versailles,1
Hotel du Pont Neuf,1
Tonic Hotel,1
Moderniste,1
Hotel Karraz,1
Le Relais des Halles,1
Hotel Paris Le Marquis Eiffel,1
Hotel Ares Eiffel,1
Europe Hotel,1
Campanile Paris XV - Tour Eiffel,1
Hotel Lille-Louvre,1
Hotel Washington Opera,1
Pullman Paris Tour Eiffel,1
Cambon Hotel,1
Marsollier Opera,1
Ascot Opera,1
Grand Hotel de Malte Opera - Astotel,1
Gramont,1
Timhotel Palais Royal,1
Hotel Volney Opera,1
Hotel Stendhal Paris Place Vendome MGallery by Sofitel,1
Hotel Bachaumont,1
Hotel du Globe,1
Hotel Bellevue et du Chariot d'Or,1
Appi,1
Sookie,1
Henri IV,1
Best Western Quartier Latin,1
Hotel Saint-Christophe,1
Oratio,1
Le M. Saint-Germain,1
Hotel & spa Saint-Jacques,1
Villa Pantheon,1
Claude Bernard,1
Les bulles de Paris,1
Hotel des Carmes,1
Hotel les deux Îles,1
Hotel de Lutèce,1
Hotel Saint-Louis en l'Isle,1
Le Jardin de Cluny,1
Marignan,1
Hotel du Collège de France,1
Hotel Diana,1
Mercure Notre-Dame,1
Royal Saint-Michel,1
Aparthotel Adagio access Paris Bastille,1
Hotel Esmerelda,1
Henri IV rive gauche,1
Melia Paris Notre Dame,1
Le Presbytère,1
Hotel Beaubourg,1
duO,1
Mercure Sorbonne,1
D'win,1
Villa Mazarin,1
Hotel de Nice,1
Hotel Caron de Beaumarchais,1
Hotel France Louvre,1
Le Compostelle,1
Maxim Quartier Latin,1
Hotel Pratic,1
Hotel Paris Rivoli,1
Le Temple de Jeanne,1
Jardins de Paris Marais-Bastille,1
Hotel Georgette,1
Paris Bruxelles,1
Nazareth,1
Austin's Arts et Metiers,1
Au cœur des Arts et Metiers,1
Le Relais du Marais,1
Paris France Hotel,1
Hotel des Fontaines,1
Hotel 3H / Paris Marais,1
So'Marais,1
Hotel du Haut Marais,1
Hotel Saint-Pierre,1
Jules et Jim,1
Hotel du Vieux Saule,1
Monsieur Saintonge,1
Meteore,1
Grand Hotel Saint-Michel,1
Hotel du Bresil,1
Hotel de Senlis,1
Hotel Beauvoir,1
Hotel des Balcons,1
Hotel des Mines,1
Les Jardins du Luxembourg,1
Hotel de l'Esperance,1
Hotel Orphee,1
Hotel du Pas-de-Calais,1
Centre International de Sejour de Paris-Kellermann,1
Élement hotel,1
25 Hours Hotel Terminus Nord,1
Hotel Canal Saint-Martin,1
Le Milie Rose,1
Ibis - Paris Gare du Nord Chateau Landon,1
Hotel de Milan,1
Hotel Paris-Nord,1
L'equiquier,1
Hotel d'Alsace,1
Hotel Providence,1
Grand Hotel des Voyageurs,1
Maison du Pre,1
Le Citizen Hotel,1
Libertel Gare de l'Est Français,1
Hotel Bristol Nord,1
Hotel Aix Europe,1
ibis Paris Canal Saint-Martin,1
Hotel Marclau,1
Hotel Provinces Opera,1
Modern' Est,1
Hotel Pacific,1
Hotel du centre,1
Moris,1
Hotel Metropol,1
Hotel Hauteville Opera,1
Hotel Palace,1
Le Marcel,1
Parisiana,1
Renaissance Paris Republique Hotel,1
Grand Hotel de Paris,1
Residence Capitaine Paoli,1
Hotel Excelsior,1
Hotel Beaurepaire,1
Hotel Montana,1
Ibis Styles Paris Republique Le Marais,1
Hotel Ibis Paris Gare du Nord,1
Hotel Grand Amour,1
Hotel des Belges,1
Staycity,1
Hotel Belta,1
Hotel d'Amiens,1
Midnight Hotel,1
Mercure Paris Opera Grands Boulevards,1
Timhotel Paris Gare de l'Est,1
Belfort Hotel,1
La planque,1
Hotel des comedies,1
Hotel de Bordeaux,1
Little Regina,1
"Saint-Christopher's Inns, Gare du Nord",1
Little Hotel,1
Hotel Albert 1er,1
Metropole La Fayette,1
Hotel Antinea,1
Abricotel,1
Hotel Relais Bergson,1
Hotel Pradier,1
Hotel Le Bienvenue,1
Hotel des Buttes Chaumont,1
Ibis Styles Paris Buttes Chaumont,1
Hotel de la Comète,1
Hotel Lutetia,1
Hotel Metropolitain,1
Hotel Voltaire Republique,1
Hotel Oberkampf,1
Hotel Baudin,1
Hotel international,1
Hotel Saint-Ambroise,1
Saint Martin Bastille,1
Acacia,1
Hotel de Touraine,1
Marais HÔme,1
Cosmos,1
Hotel de Nevers,1
Hotel Paris Bastille Boutet MGallery by Sofitel,1
Hotel Verlain,1
Gardette Park Hotel,1
Hotel Leonard De Vinci,1
Hotel des Andelys,1
Absolute Hotel,1
Hotel Beausejour,1
Hotel HOR Les Lumières,1
Hotel du Chemin Vert,1
Comfort Hotel Nation - Paris 11,1
Gabriel,1
Orillon hotel,1
Hotel Ibis Paris Avenue de la Republique,1
Le General,1
Villa Luxembourg,1
Hilton Garden Inn Paris La Villette,1
Hotel Royal Saint-Germain,1
Aramis Saint-Germain,1
Louison,1
Hotel Edouard VI,1
Hotel La Parizienne,1
Le Saint Gregoire,1
Hotel de Sèvres,1
Hotel Marquis,1
La Canopee,1
Hotel Haussmann Saint-Augustin,1
Le Petit Madeleine,1
Le Lavoisier,1
Hotel Le Mathurin,1
Hotel Opera Marigny,1
Émeraude Madeleine Haussmann,1
Hotel Concortel,1
Hotel Fauchon,1
Hotel de Pourtalès,1
Royal Opera,1
Chavanel,1
Oceanic,1
Best Western Premier Opera Diamond,1
Hotel Cervantes Paris,1
Alexandrine Opera,1
Villa Saxe Eiffel,1
Sofitel Arc de Triomphe,1
Hotel Best Western Anjou Lafayette,1
Ibis Paris Grands Boulevards Opera,1
Hotel du Leman,1
Parister,1
Villa Opera Drouot,1
Mercure Paris Monty Opera,1
Hotel Royal-Bergère,1
George Sand,1
Le Pera,1
Astra,1
Hotel Caumartin Opera,1
Maison Nabis,1
Hotel Rotary,1
Villathena,1
New Hotel Opera,1
Hotel Pilime,1
ATN Hotel,1
Hotel Vintimille,1
Le Grey Hotel,1
Le Secret de Paris,1
Hotel Marignan Champs-Élysees,1
Hotel Helios Opera,1
Excelsior,1
Hotel Rochechouart,1
Hotel Touring,1
Beige,1
Hotel Arvor,1
Hotel Chateaudun Opera,1
Les Matins de Paris,1
Monterosa,1
Hotel Touraine Opera,1
Hotel Vernet,1
TimHotel Invalides,1
Hotel Eiffel Turenne,1
Hotel Muguet,1
Hotel Le Cinq Codet,1
Scarlett,1
Bridget,1
Novotel Paris 20 Belleville,1
Menil Bon Temps,1
Babel,1
Hotel des Vosges,1
Hipotel Buttes-Chaumont Pyrenees,1
Hotel Levert,1
Panam Hotel,1
Hotel Lilas-Gambetta,1
Adagio Access Paris Philippe Auguste,1
Residence Internationale de Paris,1
Hotel Napoleon,1
Hotel Elysees Ceramic,1
Residence Nolet,1
Art Hotel Congrès,1
Kimotel,1
Darcet,1
Hotel de Cabourg,1
Camelia International,1
Hotel De L'Avenir Jonquière,1
Hotel de l'Avenir,1
Nice Hotel,1
Lekatorze hotel,1
Azur Hotel,1
Hotel d'Aveyron,1
Hotel Eldorado,1
Agate Hotel,1
L'Ermitage,1
Hotel Luxia,1
Hotel Paris Bastille,1
Le Relais Montmartre,1
Le 209,1
"Le Quartier, Bercy - Square",1
Mercure - Paris Bastille,1
Ibis Gare De Lyon Diderot,1
Hotel des allies,1
Le Marceau Bastille,1
Hotel Claret,1
Hotel du Roussillon,1
Hotel des 5 diamants,1
Hotel Verlaine,1
Mercure Blanqui Place d'Italie,1
Hotel Ambre,1
Hotel Ibis Italie Tolbiac,1
Hotel Media,1
Best Western Plus La Demeure,1
ibis Paris Place d'Italie 13ème,1
Coq Hotel,1
Grand Hotel des Gobelins,1
Ibis Styles Paris Tolbiac Bibliothèque,1
Hotel Majesty,1
Hotel Novex,1
Urban Bivouac,1
The Playce Hotel,1
Hotel Appolo Opera,1
Fiat,1
Royal Fromentin,1
Hotel Leopold,1
Hotel Montparnasse - Saint-Germain,1
Hotel Arotel,1
L'Esperance,1
Hotel Edgard Quinet,1
Hotel de Paris Montparnasse,1
Hotel de la Tour,1
Hotel Odessa,1
Relais Moncey,1
Hotel Waldorf,1
Nouvel Orleans,1
Hotel du Lion,1
Villa Montparnasse,1
Hotel transcontinental,1
Tipi,1
Solar Hotel,1
Montparnasse Daguerre,1
Petit Palace Hotel,1
Hotel Telemaque,1
Le Lionceau,1
Hotel Denfert-Montparnasse,1
Hotel Aviatic,1
Mistral Hotel,1
Suites & hotel Montparnasse,1
BOB,1
"Niepce Paris Hotel, Curio Collection by Hilton",1
Hotel Apollon Montparnasse,1
Hotel Mercure Paris XV,1
Campanile,1
Hotel du Maine,1
Ariane Montparnasse,1
ibis Styles Paris Alesia Montparnasse,1
Hotel Concorde Montparnasse,1
La Perle Montparnasse,1
Hotel Lecourbe,1
Hotel Terminus Orleans,1
Mercure Paris Alesia,1
Hotel Montparnasse Alesia,1
Hotel - Villa du Maine,1
Hotel Acropole,1
Villa M,1
15 Montparnasse,1
Avia Saphir Montparnasse,1
Hotel Duret,1
Saint-James,1
Hotel Alexander,1
Villa Glamour,1
Windsor Home,1
Hotel Auteuil Tour Eiffel,1
Hotel Square,1
Paris Arc de Triomphe,1
Hotel Monceau Elysees,1
Le Pierre,1
Hotel Doisy,1
Elsa,1
Splendid Étoile,1
Hotel Balmoral,1
Villa Eugenie,1
Le Tsula,1
Hotel Belfast,1
Archetype,1
Hotel La Regence,1
Hotel Phenix,1
Hotel Mercedes,1
Villa Brunel,1
Paris J'Adore Hotel & Spa,1
Hotel Stella Etoile,1
Pavillon Monceau,1
A l'Oree du Parc,1
Hotel Novotel Paris Tour Eiffel,1
Adagio Paris Tour Eiffel,1
Hotel Paris Bercy,1
B&B Hotel Paris 17 Batignolles,1
Courtyard,1
Mama Shelter Hotel,1
Observatoire Luxembourg,1
Est Hotel Paris,1
B&B Hotel,1
Novotel Suites,1
Hotel Okko,1
Hotel Austerlitz,1
Hotel Citadines Bastille Gare de Lyon,1
Motel One,1
La belle ville,1
Ibis Styles Paris Meteor,1
Mama Shelter Paris West,1
Meininger Hotel,1
Ibis Maine Montparnasse,1
Okko Hotel,1
1K,1
La Lanterne,1
Home Latin,1
Atmosphères,1
Hotel L'ami Justin,1
Hotel de l'Horloge,1
Hótel de Menilmontant,1
Hotel Paris Louis Blanc,1
123 Sebastopol,1
Le daly's,1
Le 74,1
Sofiane,1
Legend,1
Kyriad,1
Hotel Wallace,1
Lilas Blanc Grenelle,1
France Eiffel,1
Hotel Cluny Square,1
Hotel Bastille Speria,1
Hotel du Lys,1
Hotel Excelsior Latin,1
Relais Saint-Sulpice,1
Hotel Aulivia Opera,1
Hotel Hor,1
Ibis Styles - Paris Gare de l'Est TGV,1
Hotel Libertel Canal Saint-Martin,1
Richard,1
Standard Design,1
Hotel de Crillon,1
Le Bristol,1
Hilton Paris Opera,1
NHB,1
Axel Opera,1
Serotel Suites,1
Maison Athenee,1
Hotel Plaza Athenee,1
Hotel France Albion,1
Hotel Le Tourville,1
Hotel Effeil-Blomet,1
Hotel Agenor,1
Hotel Rubens,1
Aladin,1
Hotel d'Alesia,1
Hotel Apollinaire,1
Hotel Clairefontaine,1
Hotel Saint-Marcel,1
Best Western Opera Batignolles,1
Hotel Meridien Etoile,1
Hotel Le Villiers,1
Hotel Riviera Élysees,1
Timhotel Montmartre,1
Le Paris 18 Hotel,1
Hyatt Regency Paris Etoile,1
Yooma Urban Lodge,1
