string,weight
Hotel de la Tremoille,1
Hotel Élysees Regencia,1
Hotel Le Walt,1
Hotel Norman Paris,1
L'Hotel du Collectionneur,1
Hotel Lord Byron,1
Hotel Ekta Champs Elysees,1
Pershing Hall,1
Hotel Mercure Paris 19 Philharmonie La Villette,1
Holiday Inn Express : Hotel Paris-Canal De La Villette,1
Les Dames du Pantheon,1
Hotel de l'Aqueduc,1
Hotel Mercure Paris Gare du Nord La Fayette,1
Park Hyatt Paris -Vendome,1
Hotel habituel,1
Paradiso,1
Excelsior Hotel Varlin,1
Grand Hotel de l'Univers-Nord,1
Hotel Pullman Paris Bercy,1
Hotel George,1
Hotel Sibour,1
Appart'City,1
Bourgogne et Montana Hotel,1
Hotel de Varenne,1
Hotel des Trois Gares,1
Hotel Acte V,1
Hotel Americain,1
Hotel Raphael,1
Hotel Baltimore,1
Hotel Pastel,1
Villa des ambassadeurs,1
Hotel Victor Hugo,1
Residence Chalgrin,1
La Clef Tour Eiffel,1
Residence Imperiale,1
Color Design Hotel,1
Holliday Inn,1
Hotel Forest Hill La Villette,1
Hotel Gavarni,1
Hotel Korner,1
Hotel Jeff,1
Hotel Residence Foch,1
Hotel du Jardin des Plantes,1
Hotel Elysa-Luxembourg,1
Hotel Ribera,1
Hotel La Fayette,1
Queen's Hotel,1
Hotel du Square,1
Holiday Inn Garden Court : Paris-Auteuil,1
Hotel Auguste,1
Hotel Merryl,1
Hotel de Bellevue Paris,1
Hotel Le Regent,1
Ambassadeur,1
Hotel Les Rives de Notre-Dame,1
Hotel Notre-Dame,1
Hotel Amiot,1
Familia Hotel,1
Hotel Minerve,1
Hotel des Grands Hommes,1
Le Lotti,1
Hotel Eber Mars,1
Eiffel Kennedy,1
Hotel Le Derby Alma,1
Hotel Les Theâtres,1
Best Western Premier Le Swann,1
Hotel Derby Eiffel,1
Hotel Lodge du Centre,1
Hotel Villa Margaux,1
Hotel des Victoires,1
Hotel Ronceray,1
Hotel Acadia,1
Victoria,1
Paris Eiffel Cambronne,1
Baldi,1
First Hotel,1
Hotel Segur,1
Bailli de Suffren,1
Antin Saint-Georges,1
Hotel de Maubeuge,1
Le Meurice,1
Hotel Saint-James & Albany,1
Le Petit Beaumarchais,1
l’Apostrophe,1
William's Opera,1
Hotel Des Arts Bastille,1
Ibis Paris Gare de l'Est,1
Élysee,1
La Maison Blanche,1
Eiffel Saint-Charles,1
Europeen,1
Hotel de Nantes,1
Hotel d'Espagne,1
Hotel Montalembert,1
Grand Hotel du Bel Air,1
Hotel du Petit Louvre,1
Hotel Delos Vaugirard,1
Le Daum,1
Hotel Chatillon Paris Montparnasse,1
Hotel Avalon Paris,1
Hotellerie Paris Saint-Honore,1
La Croix de Malte,1
Grand Hotel Haussmann,1
Hotel Helder Opera,1
Hotel 10 Opera,1
Hotel Langlois,1
Ibis Budget,1
Baudelaire,1
Alison,1
Beau Manoir,1
La Sanguine,1
Hotel de Sèze,1
Le Clos d'Alesia,1
Ibis Styles Paris Nation Cours de Vincennes,1
Hotel du Moulin,1
Modern Hotel,1
Luxor Bastille Hotel,1
Le Versigny,1
Hotel du Bon Sejour,1
Hotel Aida Marais,1
Hotel des 3 Nations,1
Hotel Tours Magenta,1
Residence Mouffetard,1
Hotel Westminster,1
Mandarin Oriental Paris,1
Hotel Andre Latin,1
Relais Saint-Jacques,1
Hotel Banke,1
Thoumieux,1
Hotel Therèse,1
Le Seven,1
Hotel des Grandes Écoles,1
Ibis Paris Brancion parc des expositions,1
Hotel Regyn's Montmartre,1
Clichy Hotel,1
Hotel Andre Gill,1
La Soummam,1
Hotel Belambra Magendie (Touring Hotel),1
Hotel Mogador,1
Holiday Inn Paris Opera,1
Hotel R de Paris,1
Antin Trinite,1
Opera d'Antin,1
Bloum,1
Hotel Imperial,1
Paris Vaugirard,1
Hotel Litteraire Marcel Ayme,1
Hotel Mercure Paris Montmartre Sacre Cœur,1
Hotel Ibis Paris Montmartre,1
Art Hotel Batignolles,1
Hotel de Flore 108 rue Lamarck,1
Holliday Inn Garden Court,1
Le Rocroy,1
Hotel ibis Paris Sacre-Cœur,1
Hotel des Arènes,1
Hotel Studia,1
Renaissance Paris Vendome Hotel,1
Le Patio Bastille,1
Hotel de la Chope,1
Hotel Le M,1
Hotel de Sevigne,1
Étoile Saint-Ferdinand,1
Citadines Apart'Hotel,1
Hotel Terminus Montparnasse,1
Mercure Gare Montparnasse,1
Libertel Montmartre Duperre,1
Renaissance Paris Arc de Triomphe Hotel,1
Hotel La Comtesse by Elegancia,1
Hotel Berkeley,1
Platine,1
New Hotel Saint-Lazare,1
Hotel Londres & New-york,1
Le Pavillon Bastille,1
Shangri-La Hotel,1
Hotel Max,1
61 Paris Nation Hotel,1
Palma Hotel,1
Le Baron,1
AmHotel Italie,1
Arian Hotel,1
Windsor Opera,1
Meridional,1
Mercure Paris Vaugirard Porte de Versailles,1
Porte de Versailles Hotel,1
Hotel Riquet,1
Hotel de la Poste,1
Hotel Clarisse,1
Hotel Exelmans,1
Hotel Boileau,1
Hotel Median Paris Porte de Versailles,1
Villa royale Montsouris,1
Hotel Virgina,1
Hotel Montsouris Orleans,1
Hotel Beaunier,1
Glam's Hotel,1
Parc Hotel,1
Sports Hotel,1
Hotel du Parc Saint-Charles,1
Hotel Source,1
Timhotel Nation,1
Dupleix Hotel,1
Hotel Tolbiac,1
Hotel Torcy,1
Hotel de Belfort,1
Hotel Palais de Chaillot,1
Hotel Belfort,1
Hotel Mirific,1
Cambrai,1
Le Petit Belloy,1
Hotel Belloy Saint-Germain,1
Quality Hotel & Suites Bercy Bibliothèque,1
Paris Montmartre Hotel,1
Hotel Pavillon de la reine,1
Amiral,1
Nouveau Paris Park Hotel,1
Hotel Magellan,1
Le Petit Cosy,1
Armoni Hotel,1
Hotel Champerret-Heliopolis,1
Piapia,1
Hotel Flor Rivoli,1
Grand Hotel Dechampaigne,1
Louvre Montana,1
Grand hotel amelot,1
Louis II,1
Cordelia,1
Hotel 34B,1
Hotel marais bastille,1
Hotel Villa des Ternes,1
Hotel Champerret-Élysees,1
Notre-Dame,1
Jardin de Villiers,1
Pavillon Courcelles Parc Monceau,1
Pavillon Villiers Étoile,1
Holiday Villa,1
Auriane Porte de Versailles,1
Beausejour Montmartre,1
Hotel Selva,1
Balcon de Charonne,1
Hotel Mont Blanc,1
Hotel abbatial Saint-Germain,1
Europe - St Severin,1
Mercure Paris - Tour Eiffel,1
Ideal Hotel,1
Hotel du Parc Saint-Severin,1
Hotel Chopin,1
Hotel Perreyve,1
Bonsoir Madame,1
Istria Montparnasse,1
Hotel Madeleine Plaza,1
Andrea Rivoli,1
Hotel de Reims,1
Hotel Vicq d'Azir,1
Diva Opera,1
Residence Châtillon,1
Hotel de l'Alma,1
Hotel Royal Saint-Honore,1
Hotel Fertel Maillot,1
Central hotel,1
Hotel de Neuville,1
Hotel CÉ,1
Hotel Nude Paris,1
Apolonia,1
Hotel Design de la Sorbonne,1
34B,1
Hotel du Calvados,1
Austin's Saint-Lazare,1
Élysees Union,1
Hotel Michelet Odeon,1
Trianon Rive gauche,1
Radisson Blu Le Dokhan's Hotel,1
Plaza Tour Eiffel,1
Adagio Aparthotel,1
Hotel de la Perdrix Rouge,1
Hotel Villa Garibaldi,1
Hotel Academie,1
Citadines Austerlitz Paris,1
Le Richemont,1
Hotel du Triangle d'Or,1
Hotel Cluny-Sorbonne,1
Hotel Noir,1
Hotel de Sers,1
Hotel Bel Ami,1
Hotel Edouard 7,1
Hotel Eiffel Trocadero,1
Hotel Franklin,1
Golden Hotel,1
The Peninsula Paris,1
Hotel Mon Rêve Amadeus,1
Hotel du Parc Montsouris,1
Best Western Empire Élysees,1
Moulin Vert,1
La Finca,1
Hotel du Cadran,1
Pavillon Nation,1
Canal de l'Ourcq,1
Pink Hotel,1
Chouette Hotel,1
Le Robinet d'Or,1
Saint-Sebastien,1
Hotel de bourgogne,1
slh.com,1
Hotel Le Mareuil,1
Vienne,1
Hotel Beaumarchais,1
Paris Voltaire,1
Hotel Bastille de Launay,1
Hotel de Venise,1
Le 20,1
Moley,1
Archives,1
Ideal,1
Hotel Floridor,1
Trema,1
Hotel Murat,1
Hotel Madrigal,1
Select,1
Hotel Grand Paris,1
Hotel Josephine,1
R.Kipling Hotel,1
Hotel Choisy,1
Ibis Paris Tour Montparnasse,1
Villa Beaumarchais,1
Le Richmond,1
Picardy Hotel,1
ibis Styles Paris Gare du Nord TGV,1
Moxy Paris Bastille,1
Mary's,1
Alhambra,1
Le relais du Louvre,1
Hotel de la Place du Louvre,1
Au royal mad,1
Cyrano,1
Rhetia,1
Les Trois Collèges,1
Hotel Central Saint-Germain,1
Hotel Caron,1
Art Hotel,1
Les Tournelles,1
The Blake Paris Gare Saint Lazare,1
New Orient Hotel,1
Timhotel Opera Gare Saint-Lazare,1
Madrid Opera,1
Amadeus,1
Fred Hotel,1
Molitor,1
Massena,1
Hotel Les Jardins d'Eiffel,1
Hoy,1
Hotel Royal Phare,1
Hotel des Metallos,1
Hotel Fabric,1
Hotel de l'Exposition,1
Hotel Sophie Germain,1
Hotel Fougère,1
Royal Monceau – Raffles Pari,1
Le Mediterraneen,1
Hotel de Latour-Maubourg,1
Mom'art,1
Hotel Eiffel-Blomet,1
Hotel Mimosa,1
Nouvel Hotel Eiffel,1
Vic Eiffel,1
Art Hotel Eiffel,1
Saint-Petersbourg,1
Hotel du Cygne,1
AC Hotel by Marriott,1
Hotel Warwick,1
