experiment,points,gen_time,pkid_time,save_times_geojson,save_times_gpkg,save_times_csv,total_time
1,100,0.0173952579498291,0.001085519790649414,0.03055739402770996,0.06388735771179199,0.0028460025787353516,0.021326780319213867
1,500,0.02191925048828125,0.0,0.028584003448486328,0.06546711921691895,0.005561351776123047,0.027480602264404297
1,1000,0.026947021484375,0.0009996891021728516,0.041416168212890625,0.08476543426513672,0.009856224060058594,0.037802934646606445
1,5000,0.08276820182800293,0.0,0.16459131240844727,0.22267484664916992,0.04131436347961426,0.12408256530761719
1,10000,0.15356135368347168,0.0,0.3357686996459961,0.39460062980651855,0.08087778091430664,0.23443913459777832
1,50000,0.774700403213501,0.0010118484497070312,1.6680567264556885,1.8197593688964844,0.38880300521850586,1.1645152568817139
1,100000,1.4519157409667969,0.0,3.3803834915161133,4.051724433898926,0.8102016448974609,2.262117385864258
1,500000,7.2477686405181885,0.0010001659393310547,15.855272054672241,26.325460195541382,3.968557834625244,11.217326641082764
1,1000000,14.369985580444336,0.0010020732879638672,32.02661657333374,56.43021559715271,7.922041416168213,22.293029069900513
1,5000000,74.11125111579895,0.005990266799926758,160.4042477607727,343.035281419754,38.41086173057556,112.52810311317444
1,10000000,150.5195426940918,0.010996818542480469,318.0596446990967,697.4714331626892,74.91257834434509,225.44311785697937
